"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significant"
3.60646456019089e-39,-0.81826336057967,0.074,0.18,6.44150635095695e-35,"ZNF106",TRUE
3.67284058750257e-39,-1.02573153533824,0.023,0.1,6.56006057333834e-35,"GOSR2",TRUE
3.86836175002668e-39,-1.06752041364173,0.029,0.11,6.90928092172265e-35,"DCAF8",TRUE
5.48043198417197e-39,-0.254093575500834,0.221,0.385,9.78859956692956e-35,"SSR2",FALSE
7.04590622881918e-39,-0.676564353984712,0.065,0.166,1.25846931152939e-34,"IRF2BP2",TRUE
7.5792532254335e-39,-0.86690093500521,0.045,0.137,1.35373041859468e-34,"CD69",TRUE
7.76963152488986e-39,-0.768646914089605,0.126,0.247,1.38773388666058e-34,"EIF3A",TRUE
8.13139593961945e-39,-0.350290999337593,0.14,0.273,1.45234862877543e-34,"POLD4",FALSE
8.86277258704876e-39,-0.445325643233637,0.15,0.283,1.58297981177278e-34,"PNISR",FALSE
9.04110333606466e-39,-0.31098582903679,0.476,0.668,1.61483146685451e-34,"RPL36A",FALSE
1.12954355062042e-38,-0.663043026040993,0.035,0.121,2.01747773576313e-34,"PRKDC",TRUE
1.16504754856195e-38,-0.645218687670045,0.061,0.161,2.0808914264865e-34,"GTF2I",TRUE
1.34676006334159e-38,-0.326766950001915,0.066,0.173,2.40544814913441e-34,"N4BP2L2",FALSE
1.7537143741769e-38,-0.818654944711542,0.06,0.158,3.13230924371737e-34,"SMG1",TRUE
2.16832396922078e-38,-0.670344608582331,0.03,0.113,3.87284344142524e-34,"RBM4",TRUE
3.06524730528781e-38,1.53993709037005,0.123,0.044,5.47483821197455e-34,"PLA2G16",TRUE
5.85854505749523e-38,-0.400327039909132,0.21,0.363,1.04639473271922e-33,"CELF2",FALSE
6.72033255380304e-38,-0.382578158372963,0.276,0.447,1.20031859743476e-33,"NPM1",FALSE
6.82130623474945e-38,-0.332622248292533,0.131,0.269,1.2183535065886e-33,"NUTM2A-AS1",FALSE
7.28635746405187e-38,-0.496253349304131,0.038,0.126,1.30141630665431e-33,"SP100",FALSE
7.41494390045881e-38,-0.532027752689614,0.046,0.138,1.32438313006095e-33,"NORAD",TRUE
1.53752842767865e-37,-0.257619329048426,0.122,0.253,2.74617952467684e-33,"LAMP1",FALSE
1.9605753741201e-37,-0.275301648006327,0.057,0.157,3.50178367571591e-33,"LAIR1",FALSE
2.40893427833956e-37,-0.52293685284909,0.131,0.255,4.30259751454229e-33,"DOCK8",TRUE
2.65532577505368e-37,-0.510875006398299,0.596,0.693,4.74267736682338e-33,"MT-ND3",TRUE
2.95141933706402e-37,-0.672121758519204,0.07,0.171,5.27153007793004e-33,"CNPY2",TRUE
