"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.2393521854079e-65,1.51521320088861,0.356,0.095,2.21360693835705e-61,"7","AP1S1"
1.30198682082556e-65,1.41114118931269,0.439,0.134,2.32547866067653e-61,"7","SMARCA5"
1.59386071821778e-65,1.74398916683633,0.553,0.213,2.84679462880877e-61,"7","HSPD1"
1.61525727461708e-65,1.3885340619169,0.363,0.098,2.88501101819356e-61,"7","RTCB"
1.7623224731735e-65,1.23771336084938,0.38,0.104,3.14768416933518e-61,"7","NSMCE4A"
2.21447328397933e-65,1.77517075341577,0.482,0.174,3.95527073251549e-61,"7","SRSF7"
2.21675940053099e-65,0.6843537481315,0.318,0.075,3.95935396528839e-61,"7","RPF1"
2.71280379450773e-65,1.30213186364753,0.314,0.074,4.84533885737026e-61,"7","CDKN2AIPNL"
2.89778388752873e-65,0.952951341928347,0.922,0.825,5.17573180151507e-61,"7","RPS7"
6.50003334469414e-65,1.40557641776657,0.387,0.108,1.16097095569582e-60,"7","CHRAC1"
7.66101421673062e-65,1.12422040255345,0.359,0.094,1.36833374925026e-60,"7","SF3A3"
9.21139291617747e-65,1.03606037999826,0.392,0.109,1.64524688875846e-60,"7","WDR61"
1.05677689224605e-64,1.16423266006093,0.449,0.138,1.88750920724067e-60,"7","DENR"
1.583340219277e-64,1.63282587384584,0.518,0.197,2.82800396565065e-60,"7","HNRNPL"
1.72923477833648e-64,1.66834882051371,0.47,0.163,3.08858623758678e-60,"7","MANF"
2.23304847395724e-64,1.41316835655107,0.304,0.072,3.98844787933502e-60,"7","NRM"
2.42501403428714e-64,1.35218857463285,0.316,0.076,4.33131756664026e-60,"7","PPA2"
2.4947334343888e-64,1.81643372250989,0.665,0.393,4.45584338716184e-60,"7","RPL4"
2.64002275323818e-64,0.689031890569845,0.278,0.06,4.71534463955872e-60,"7","MRPS30"
4.08535601642598e-64,0.965129948192714,0.276,0.06,7.29685438093844e-60,"7","ESF1"
5.04462664982052e-64,1.15814181411193,0.304,0.071,9.01020765924443e-60,"7","MOB2"
5.08200653102358e-64,1.46401955513093,0.257,0.053,9.07697186506122e-60,"7","SIGMAR1"
5.78207640111873e-64,1.25988379114382,0.43,0.133,1.03273666600382e-59,"7","CHCHD1"
1.24439280740745e-63,1.33509671912298,0.349,0.092,2.22260999331045e-59,"7","LMAN1"
1.27433223844062e-63,1.51608978120101,0.786,0.628,2.27608481107879e-59,"7","RPL21"
1.54172104367696e-63,1.39447156037876,0.838,0.719,2.75366795611142e-59,"7","RPL37A"
1.77785427295194e-63,1.73933099014732,0.504,0.194,3.17542551691945e-59,"7","CCT7"
1.81285021010798e-63,1.62043518479966,0.28,0.063,3.23793176027386e-59,"7","NCBP1"
1.85667425331811e-63,1.96786757723511,0.409,0.128,3.31620588385147e-59,"7","LMO2"
2.03540717605067e-63,0.835716516862862,0.276,0.06,3.6354407571441e-59,"7","RPF2"
2.60821857040293e-63,1.24946910800699,0.311,0.075,4.65853918859668e-59,"7","HARS"
2.93252497121691e-63,1.52093974698909,0.534,0.199,5.23778285109052e-59,"7","MPC1"
2.98051067550842e-63,1.14660317011036,0.38,0.105,5.32349011752559e-59,"7","DNMT1"
3.5791992881681e-63,1.60778889390958,0.392,0.116,6.39280784859705e-59,"7","STK16"
4.11965066491528e-63,1.2411109254853,0.29,0.067,7.35810805260518e-59,"7","TMEM11"
4.601699635886e-63,0.896305220892506,0.359,0.094,8.21909571965598e-59,"7","NXT1"
